Customer,State,CLV,Coverage,Income,loc_type,monthly_premium,months_last_claim,Months_Since_Policy_Inception,Total_Claim_Amount,Vehicle_Class
XR95069,Washington,4854.745666,Basic,29834,Suburban,64,19,44,307.2,Four-Door Car
FR46645,California,4293.997319,Premium,16701,Suburban,113,20,26,831.625979,Four-Door Car
SY17488,Arizona,7164.395543,Extended,46623,Suburban,91,1,53,436.8,Four-Door Car
AP67935,California,7619.5158,Basic,64749,Urban,64,24,59,302.56519,Four-Door Car
FS37417,Arizona,3958.002823,Basic,0,Suburban,101,29,12,484.8,SUV
ML29312,Oregon,4499.493252,Extended,16969,Suburban,124,34,47,704.768111,SUV
UB61619,Oregon,4059.567414,Premium,11621,Suburban,108,4,98,518.4,Four-Door Car
CD86811,Arizona,4458.113369,Basic,17622,Suburban,65,1,36,312,Four-Door Car
RU83859,California,8110.333139,Premium,11489,Suburban,105,4,50,504,Two-Door Car
FG63582,Oregon,3339.764873,Extended,0,Suburban,94,20,53,863.327324,Two-Door Car
NN71951,California,24261.01777,Basic,66525,Rural,100,0,86,104.331355,SUV
WB37082,Arizona,6613.973653,Basic,0,Suburban,63,21,28,676.391482,Four-Door Car
SM52139,Washington,2930.693543,Basic,33663,Suburban,73,29,71,350.4,Four-Door Car
FL82372,Oregon,8672.194272,Basic,22547,Suburban,112,7,60,537.6,SUV
DP45816,Arizona,11638.66926,Extended,61486,Urban,97,5,65,465.258644,Two-Door Car
GW33762,Oregon,6846.150323,Extended,0,Suburban,95,13,20,456,Two-Door Car
RZ33670,California,11727.77648,Premium,29879,Suburban,102,17,0,500.254235,Four-Door Car
PY70169,Oregon,22643.83478,Basic,93011,Rural,113,17,12,281.451042,SUV
MO91628,Oregon,2614.474305,Basic,65186,Rural,65,29,27,5.434505,Two-Door Car
HW87852,Oregon,2451.752695,Basic,26840,Suburban,64,1,47,307.2,Four-Door Car
HB20453,Oregon,6781.270203,Basic,0,Suburban,104,30,3,982.399613,Sports Car
BN87372,Oregon,4974.801539,Basic,75644,Suburban,65,5,68,467.803638,Two-Door Car
YX23800,Oregon,8591.604933,Basic,38984,Suburban,73,27,38,350.4,Four-Door Car
DZ87709,Oregon,5592.161392,Basic,71811,Rural,71,17,48,29.03416,Four-Door Car
XW13033,Nevada,8009.472833,Basic,20961,Suburban,67,20,33,321.6,Four-Door Car
LN31673,Washington,11318.08982,Extended,38923,Rural,99,6,83,115.728852,Four-Door Car
OM82309,California,58166.55351,Basic,61321,Rural,186,0,30,427.63121,Luxury Car
ZU35962,California,8025.229358,Extended,0,Rural,77,20,26,25.807685,Two-Door Car
VH85817,California,5780.182197,Basic,51066,Suburban,74,23,0,787.993313,Four-Door Car
DT85712,California,4118.539113,Basic,34378,Suburban,102,12,54,489.6,SUV
YJ88573,Nevada,2523.07015,Basic,43072,Suburban,63,35,15,302.4,Four-Door Car
SQ19467,Oregon,6554.216396,Extended,25222,Suburban,90,28,69,475.623251,Four-Door Car
HF88410,Washington,7703.397294,Basic,36765,Suburban,66,15,32,320.849072,Four-Door Car
ET79815,California,5926.729379,Extended,23091,Suburban,96,28,90,460.8,Four-Door Car
QC35222,California,2683.470677,Basic,48269,Urban,69,3,79,282.151207,Four-Door Car
CJ15590,Oregon,2695.182419,Basic,32720,Suburban,67,13,12,321.6,Four-Door Car
OI48267,California,6047.02516,Extended,20396,Suburban,76,15,60,364.8,Four-Door Car
JY67916,Oregon,13171.01282,Premium,21513,Suburban,119,21,81,679.827592,Two-Door Car
OE75231,Washington,10656.88195,Extended,72540,Suburban,88,7,3,631.743039,Two-Door Car
CZ33664,Oregon,2527.653796,Basic,80744,Rural,63,24,84,11.879037,Four-Door Car
WK30175,Oregon,2672.095756,Basic,52822,Suburban,67,23,88,350.529033,Two-Door Car
ON44465,California,5313.294035,Extended,0,Suburban,77,8,10,863.3947,Four-Door Car
TV87155,Oregon,20946.19251,Basic,69738,Suburban,74,2,26,492.127532,Four-Door Car
KH48895,Arizona,8375.353929,Basic,17780,Rural,109,12,18,132.588288,SUV
NZ30757,California,4801.661503,Basic,18107,Suburban,62,29,11,297.6,Four-Door Car
RI22468,Arizona,5745.94334,Basic,57740,Urban,74,30,87,269.905129,Four-Door Car
FZ30935,Oregon,6066.115969,Extended,32627,Suburban,76,11,60,380.036697,Two-Door Car
UG93476,California,8002.308333,Basic,0,Suburban,107,3,65,513.6,SUV
AB96670,California,2393.915369,Basic,0,Suburban,70,24,10,425.266308,Four-Door Car
XK64261,Oregon,4762.8179,Basic,65795,Rural,62,2,85,49.011099,Two-Door Car
EV68375,California,4330.38602,Premium,60475,Suburban,107,9,18,513.6,Four-Door Car
UN51653,California,9402.729769,Extended,0,Suburban,130,28,88,936,SUV
TO96662,Oregon,6966.694527,Extended,41837,Rural,88,29,93,142.062768,Four-Door Car
MR52087,California,7694.064293,Basic,32303,Rural,65,13,34,45.152521,Four-Door Car
DE75225,Oregon,8717.561149,Basic,0,Suburban,117,5,89,561.6,SUV
EP80820,California,5928.748528,Basic,40531,Rural,74,17,32,30.567357,Two-Door Car
GU99037,Oregon,2452.977288,Basic,79898,Urban,62,5,86,271.606799,Four-Door Car
WI57118,California,6701.571657,Extended,56398,Suburban,85,4,18,408,Four-Door Car
YQ74870,Washington,7556.24034,Extended,35257,Suburban,98,16,2,470.4,Four-Door Car
MQ14219,Arizona,8492.6988,Basic,27804,Suburban,109,19,54,784.8,SUV
KN20603,Oregon,7713.494046,Basic,45506,Suburban,66,16,32,316.8,Four-Door Car
CR48975,Washington,24084.5352,Basic,65196,Suburban,67,0,54,396.082036,Four-Door Car
JI70886,California,7290.069769,Basic,0,Suburban,102,11,70,489.6,SUV
VF72557,Oregon,4772.943848,Extended,20993,Suburban,133,35,90,638.4,SUV
OX28638,Arizona,6806.491395,Extended,37839,Suburban,86,35,77,465.633954,Two-Door Car
SK55033,California,2469.781334,Basic,92711,Suburban,62,24,10,368.400146,Two-Door Car
OO88645,California,3103.923041,Extended,74665,Urban,78,10,90,236.902001,Four-Door Car
YT36855,Washington,2981.875575,Extended,0,Suburban,83,26,89,582.679087,Two-Door Car
CW82151,California,8902.737595,Basic,46833,Rural,112,6,3,64.109663,Sports Car
DY22043,Oregon,5499.447223,Basic,88768,Suburban,68,17,77,326.4,Two-Door Car
SH36774,California,15023.59858,Basic,28262,Suburban,192,9,77,921.6,Luxury SUV
EM43724,Nevada,2509.107875,Basic,33555,Rural,63,17,11,101.89645,Four-Door Car
FH85960,Oregon,31221.7481,Premium,42780,Suburban,113,10,27,542.4,Four-Door Car
XA55993,Oregon,3133.503432,Extended,58850,Rural,78,20,26,143.747794,Four-Door Car
GO36627,Arizona,3837.451863,Extended,21880,Urban,97,29,37,424.077159,Four-Door Car
QH48047,Oregon,11790.49617,Basic,25251,Suburban,66,13,43,316.8,Four-Door Car
RB50392,Washington,7838.068321,Basic,0,Rural,69,9,12,2.704934,Four-Door Car
UH65059,Arizona,4305.808345,Basic,24188,Suburban,109,14,82,523.2,Sports Car
FV21968,Nevada,5973.976904,Basic,41611,Rural,74,14,8,113.801497,Four-Door Car
QA87025,Oregon,5670.442396,Basic,28406,Urban,72,16,35,192.87572,Four-Door Car
TQ13499,Arizona,4731.749346,Premium,69833,Suburban,118,32,99,828.662719,Four-Door Car
BU44523,Arizona,8026.379641,Basic,0,Suburban,74,15,91,532.8,Four-Door Car
MS41162,Arizona,4022.963529,Basic,0,Suburban,117,6,1,975.107098,SUV
PU25891,Oregon,9618.310865,Basic,80536,Rural,119,5,83,53.798708,Sports Car
RB81636,Washington,2274.775451,Basic,0,Suburban,63,2,5,606.642452,Four-Door Car
SX26335,Oregon,9552.926922,Extended,97732,Urban,79,0,70,289.9122,Four-Door Car
AZ95587,Arizona,10388.55323,Extended,61222,Urban,89,20,55,392.604371,Four-Door Car
DS81757,Oregon,2470.121222,Basic,0,Suburban,74,7,20,721.242206,Two-Door Car
OJ94107,Arizona,5619.068508,Premium,50335,Urban,140,9,54,456.52385,SUV
LP84436,California,9047.119209,Extended,0,Suburban,127,30,11,1087.995426,Sports Car
YV64727,Washington,6692.143668,Premium,63221,Suburban,168,28,49,806.4,SUV
LM19287,Oregon,3731.504584,Extended,0,Suburban,96,31,34,460.8,Four-Door Car
ZU18643,Nevada,3660.770258,Extended,64495,Urban,92,34,30,251.992083,Four-Door Car
AZ82578,California,7928.829252,Basic,0,Suburban,72,7,75,345.6,Four-Door Car
XC67861,Arizona,5011.751577,Basic,28859,Suburban,67,24,51,321.6,Two-Door Car
YC43143,Arizona,7988.258292,Extended,77330,Rural,99,0,21,99.257608,Four-Door Car
EK59571,Oregon,3885.456401,Premium,0,Suburban,105,3,92,504,Four-Door Car
GD83998,Washington,2659.337982,Basic,24495,Suburban,70,29,65,336,Four-Door Car
WA25797,Washington,8564.768226,Basic,95697,Rural,107,29,29,178.006524,Sports Car
PD27940,Arizona,4885.162511,Extended,26372,Suburban,126,11,7,604.8,SUV
BS77946,Arizona,9753.307106,Extended,17514,Rural,127,2,5,8.312729,SUV
YM50253,California,2946.153697,Basic,89270,Urban,74,17,90,316.599228,Four-Door Car
NR15332,California,2581.110945,Basic,29757,Suburban,65,13,55,312,Four-Door Car
RC62865,Oregon,3517.385764,Extended,51814,Rural,92,28,89,56.300724,Four-Door Car
CC15295,Oregon,9743.350113,Extended,24028,Suburban,82,14,27,393.6,Four-Door Car
KA61892,Arizona,3873.647046,Basic,28142,Suburban,105,18,50,701.708239,Sports Car
OS94884,Arizona,7649.28199,Basic,52705,Rural,64,14,8,128.705563,Two-Door Car
ND87334,California,2287.59692,Basic,0,Suburban,63,1,5,679.368378,Two-Door Car
ML93326,Washington,4475.424592,Basic,84903,Urban,111,7,63,497.126827,SUV
YL74911,California,8714.922135,Basic,0,Suburban,118,14,64,566.4,SUV
JP69864,Washington,2248.449633,Basic,24910,Suburban,63,7,63,347.857619,Four-Door Car
HL53154,California,7416.197322,Extended,0,Suburban,77,15,12,554.4,Four-Door Car
RI78966,Oregon,7771.158973,Basic,21876,Suburban,68,12,28,465.41477,Four-Door Car
IC13702,California,6968.3419,Basic,0,Suburban,69,33,61,496.8,Four-Door Car
BE10809,California,4250.282624,Basic,0,Suburban,61,17,1,292.8,Four-Door Car
HT87217,Oregon,19776.56654,Extended,70699,Urban,82,1,57,256.813837,Four-Door Car
TH95618,California,21343.46599,Basic,0,Suburban,74,11,85,355.2,Four-Door Car
TS19868,California,2413.139714,Basic,27501,Suburban,63,20,0,542.319401,Four-Door Car
LP45550,Oregon,15363.84716,Premium,15897,Urban,101,30,99,303.148399,Four-Door Car
QR87004,Nevada,8456.961887,Basic,25141,Rural,73,12,4,25.438063,Four-Door Car
OE75747,Nevada,2189.642522,Basic,0,Suburban,61,5,46,292.8,Four-Door Car
DX91392,California,5780.182197,Basic,51066,Suburban,74,23,0,787.993313,Four-Door Car
AB72731,California,4639.981638,Basic,28358,Rural,117,24,37,84.024413,Sports Car
RU49126,Washington,4465.335703,Basic,61846,Rural,112,1,48,215.8182,SUV
IS12901,Arizona,5968.118877,Basic,90972,Urban,74,3,47,232.926145,Two-Door Car
IX37561,Washington,5097.763337,Basic,0,Suburban,74,3,95,532.8,Two-Door Car
HH90090,California,4076.634665,Basic,29549,Suburban,104,17,51,710.433775,Sports Car
IU25463,California,12252.60179,Premium,0,Suburban,115,12,17,552,Four-Door Car
KC11055,Nevada,16936.27147,Extended,39411,Suburban,217,4,29,1122.658899,Luxury Car
PD33979,Oregon,4892.435461,Basic,21709,Suburban,62,28,17,408.374746,Four-Door Car
NK71023,Nevada,9942.304791,Extended,67890,Suburban,85,23,57,408,Four-Door Car
AB13432,California,3735.838129,Basic,0,Suburban,110,3,16,792,SUV
OZ97704,California,13117.52215,Basic,84311,Suburban,111,11,98,532.8,SUV
UF46533,California,4574.524094,Basic,99316,Suburban,114,26,53,754.358929,SUV
XP47431,Arizona,5470.060561,Extended,54507,Suburban,138,20,11,702.990032,SUV
GK73582,California,2978.84601,Extended,64586,Urban,76,3,17,206.837111,Four-Door Car
RV98763,Oregon,6410.967544,Extended,61709,Urban,82,5,41,275.395894,Four-Door Car
II62831,California,4479.023088,Basic,94656,Urban,111,12,79,459.738128,SUV
XK33449,California,2383.731879,Basic,0,Suburban,69,5,40,496.8,Two-Door Car
TR85083,California,2764.493659,Basic,61085,Suburban,70,27,34,336,Two-Door Car
EO95328,Oregon,7920.105377,Basic,89284,Suburban,67,7,31,321.6,Two-Door Car
EN21086,Arizona,6889.097981,Basic,0,Suburban,63,6,12,302.4,Four-Door Car
YL83902,Washington,3274.194616,Extended,31686,Suburban,81,11,33,430.994107,Four-Door Car
AZ62651,Oregon,9951.707743,Premium,56855,Suburban,255,12,1,1836,Luxury SUV
ZW25874,Oregon,2521.555686,Basic,53703,Rural,67,3,45,67.632476,Four-Door Car
EH41854,Washington,23706.11337,Extended,0,Suburban,96,12,35,844.481918,Two-Door Car
MW70227,California,6047.02516,Extended,20396,Suburban,76,15,60,364.8,Four-Door Car
SL22297,California,11140.30248,Premium,27679,Suburban,150,30,28,722.486994,SUV
RV14138,Nevada,4334.064096,Extended,23904,Suburban,123,1,67,590.4,SUV
UO62808,Arizona,2799.74791,Basic,65351,Suburban,69,4,54,481.027516,Four-Door Car
ZX64745,California,7923.136624,Basic,0,Suburban,113,20,1,1124.427734,SUV
FL34139,California,3688.110888,Basic,0,Suburban,63,0,54,669.682001,Four-Door Car
TS11219,California,12067.45599,Basic,0,Suburban,116,14,35,1284.093173,SUV
XX12304,California,2924.976721,Basic,64459,Urban,72,16,64,240.259479,Four-Door Car
SD64087,California,15014.0927,Premium,32961,Suburban,190,13,53,912,SUV
OY38576,Oregon,9277.233839,Basic,71416,Suburban,116,10,0,556.8,SUV
BG76355,Washington,6274.123875,Extended,68964,Rural,78,15,6,115.086827,Four-Door Car
IP66913,California,3886.647414,Extended,78108,Suburban,98,12,34,470.4,Two-Door Car
LE95702,California,4386.277558,Basic,10621,Suburban,67,28,22,321.6,Four-Door Car
KX54357,Washington,11365.26766,Extended,84910,Urban,95,4,69,383.167471,Two-Door Car
EZ78112,California,5610.96434,Basic,77493,Urban,70,2,35,307.963291,Four-Door Car
XN16891,Arizona,2912.892035,Basic,81097,Suburban,74,7,67,355.2,Four-Door Car
XK31350,Oregon,6915.729915,Extended,96610,Suburban,85,6,23,520.364752,Four-Door Car
CC30924,Oregon,6262.663307,Premium,30110,Urban,159,20,71,466.436375,Sports Car
IT78748,Oregon,6503.397049,Extended,22081,Suburban,84,1,9,451.670309,Two-Door Car
KY33386,Washington,8007.399376,Basic,0,Suburban,112,12,93,537.6,Sports Car
CO44221,California,2929.916512,Basic,98473,Suburban,72,19,69,345.6,Four-Door Car
LK60013,Oregon,5969.55297,Basic,97431,Suburban,74,1,72,355.2,Four-Door Car
DE21533,California,5473.15987,Basic,93870,Suburban,69,1,96,331.2,Four-Door Car
YS94121,Nevada,5645.396665,Basic,50366,Suburban,72,9,5,428.734656,Four-Door Car
UK68427,Washington,6369.262355,Extended,34498,Suburban,83,30,72,398.4,Two-Door Car
TE49565,Oregon,11833.76732,Basic,16552,Suburban,103,23,53,494.4,SUV
RA88421,Oregon,6121.107929,Extended,26787,Suburban,77,7,50,369.6,Four-Door Car
KQ51983,Nevada,5159.369746,Basic,0,Suburban,74,2,42,831.752839,Two-Door Car
CD88896,Nevada,2514.59196,Basic,43860,Rural,65,15,58,156.124914,Four-Door Car
YV22553,Arizona,8668.611261,Basic,21474,Urban,114,13,72,373.428187,SUV
WU14435,California,4960.965384,Basic,18174,Suburban,66,8,16,395.934815,Four-Door Car
XV84099,Arizona,5504.139033,Basic,0,Suburban,73,18,45,350.4,Four-Door Car
RI24911,Arizona,7507.455372,Basic,60920,Urban,64,10,61,231.201886,Two-Door Car
KO26461,Arizona,32269.85139,Extended,41520,Urban,90,18,70,289.904105,Four-Door Car
HI14283,Oregon,5657.031588,Premium,0,Suburban,152,12,89,729.6,SUV
PT50227,Arizona,5061.757902,Basic,0,Suburban,68,19,16,326.4,Two-Door Car
BH36570,California,5912.783829,Basic,72208,Suburban,73,3,84,350.4,Two-Door Car
TX17484,California,15182.27975,Basic,53863,Rural,63,12,30,105.765111,Four-Door Car
CT41158,Washington,10747.03094,Extended,66446,Urban,136,8,77,639.464548,SUV
AO87348,Washington,2050.623512,Basic,0,Suburban,61,18,26,292.8,Four-Door Car
DE55857,Washington,2465.444865,Basic,64997,Suburban,63,7,99,383.442328,Four-Door Car
LF66923,Nevada,5343.121327,Basic,64460,Suburban,66,18,42,316.8,Two-Door Car
CN24514,Arizona,8119.829071,Basic,46618,Rural,67,22,77,99.085943,Four-Door Car
UW32074,Oregon,4605.265164,Basic,0,Suburban,64,13,64,307.2,Four-Door Car
HP36979,California,6408.785577,Extended,49988,Suburban,84,6,37,566.935022,Two-Door Car
PP40919,California,2376.533508,Extended,0,Suburban,91,2,8,436.8,Two-Door Car
RO73268,California,3211.070017,Extended,16269,Suburban,86,6,84,412.8,Two-Door Car
HO61691,Arizona,5094.522262,Basic,72006,Suburban,64,4,38,307.2,Four-Door Car
BS13062,Arizona,25755.27817,Extended,0,Suburban,81,3,60,388.8,Four-Door Car
FO35655,Oregon,8672.229719,Extended,0,Suburban,245,34,83,2345.413441,Luxury SUV
HR10526,California,8044.73072,Basic,44320,Suburban,67,13,79,321.6,Four-Door Car
IA63417,Arizona,4001.519098,Premium,19782,Suburban,108,13,66,773.470977,Two-Door Car
BH35016,Nevada,16706.11699,Basic,63933,Suburban,70,35,98,424.883448,Two-Door Car
PK52952,Arizona,8544.411077,Basic,28224,Suburban,109,13,13,523.2,SUV
OD76309,Washington,7805.31287,Basic,21073,Suburban,106,25,54,508.8,SUV
IL28481,Oregon,6112.756868,Extended,63243,Urban,77,21,73,364.240307,Four-Door Car
GY55092,Nevada,4772.943848,Extended,20993,Suburban,133,35,90,638.4,SUV
UF33451,Oregon,10979.09559,Extended,94827,Urban,135,5,64,354.729129,SUV
CF15558,California,5004.263818,Basic,39161,Urban,63,18,83,283.995953,Two-Door Car
JM62924,Washington,13223.04379,Extended,37534,Suburban,84,2,0,403.2,Four-Door Car
EM66435,Oregon,2623.31543,Basic,80210,Rural,65,30,28,20.543176,Four-Door Car
QX45933,California,17840.19555,Basic,0,Suburban,62,32,59,385.115437,Four-Door Car
JI71369,California,5106.111827,Basic,30110,Rural,64,2,4,140.165035,Four-Door Car
JU93290,Arizona,17930.60451,Basic,21708,Suburban,68,28,77,326.4,Four-Door Car
GU66096,Arizona,5457.342569,Basic,94731,Suburban,67,23,65,321.6,Four-Door Car
UC33108,California,6563.644143,Extended,32375,Suburban,83,17,83,398.4,Four-Door Car
LW93867,Oregon,4812.525221,Basic,16531,Rural,63,0,40,102.879769,Four-Door Car
OU78470,Arizona,29328.04185,Extended,32006,Rural,94,28,7,56.868289,Four-Door Car
XW90265,Arizona,5773.520711,Basic,81676,Suburban,72,21,86,463.158502,Two-Door Car
HS67749,California,6847.1189,Extended,71038,Rural,86,15,56,205.444066,Four-Door Car
VZ51506,Arizona,3595.31286,Basic,0,Suburban,103,20,43,741.6,Sports Car
UI64281,Nevada,22855.61209,Basic,20832,Rural,65,8,32,56.371967,Two-Door Car
AE98193,Washington,7859.414569,Basic,0,Suburban,113,19,10,813.6,SUV
AZ74055,Oregon,4115.577437,Premium,52405,Suburban,103,2,27,494.4,Four-Door Car
XS76911,Arizona,5029.638777,Extended,0,Suburban,133,3,89,795.864079,Sports Car
AY40674,Washington,4821.418454,Extended,26583,Suburban,128,6,46,614.4,SUV
NA12740,Oregon,5004.310469,Basic,25486,Rural,65,15,53,72.438681,Two-Door Car
UA84837,Arizona,8630.053943,Premium,24065,Suburban,111,30,1,532.8,Four-Door Car
DJ51510,Arizona,9322.08512,Premium,70435,Rural,116,0,50,67.881546,Four-Door Car
VM58985,California,16727.56063,Extended,0,Suburban,76,33,36,402.636829,Two-Door Car
OH60605,Oregon,3652.532435,Extended,39679,Suburban,92,2,85,641.388616,Two-Door Car
UO98052,Nevada,6158.601171,Extended,0,Urban,89,13,45,342.481173,Four-Door Car
NC53424,California,4376.083958,Basic,0,Suburban,69,21,70,331.2,Two-Door Car
LQ13873,Nevada,5569.456156,Basic,53565,Suburban,71,27,34,340.8,Four-Door Car
LA97014,Washington,2576.513006,Basic,37574,Suburban,66,19,14,412.101933,Two-Door Car
NB79936,Washington,8346.983233,Premium,48259,Rural,108,14,79,73.700573,Two-Door Car
NT89061,Arizona,6323.923864,Extended,78532,Suburban,78,25,87,374.4,Four-Door Car
AF10970,Arizona,5973.14343,Basic,96163,Suburban,73,23,90,350.4,Four-Door Car
ZG48513,California,4706.676993,Basic,0,Suburban,72,0,86,345.6,Four-Door Car
JQ59145,California,8093.410258,Basic,0,Suburban,114,9,72,722.024742,Sports Car
FE84989,Washington,5035.744643,Basic,72672,Urban,63,7,39,259.361117,Four-Door Car
JT52858,Oregon,9027.867218,Premium,99002,Suburban,112,33,75,537.6,Four-Door Car
MC62068,California,7288.884849,Extended,79494,Urban,91,19,30,396.295614,Four-Door Car
EU27538,Oregon,18042.47942,Extended,35704,Rural,225,21,35,358.281562,Luxury Car
RH42306,Arizona,4992.063043,Basic,0,Suburban,71,6,5,653.388564,Four-Door Car
US23612,Oregon,9102.267849,Premium,26049,Rural,118,17,6,121.032372,Two-Door Car
WV76014,Arizona,2540.407726,Basic,70125,Rural,64,21,77,92.813396,Four-Door Car
RK96223,California,12941.89193,Basic,52369,Suburban,110,34,49,528,SUV
MF82000,Washington,2365.348601,Basic,0,Rural,66,25,51,159.636956,Four-Door Car
FM46980,Arizona,5720.765064,Basic,41770,Suburban,72,0,60,476.156957,Four-Door Car
SY56792,Oregon,7035.534088,Premium,0,Suburban,101,16,88,727.2,Four-Door Car
RF61565,California,2636.97773,Basic,31911,Suburban,67,33,27,321.6,Four-Door Car
IM94808,Nevada,5395.831967,Basic,70051,Rural,68,15,69,42.078345,Four-Door Car
VI14730,Oregon,8382.630118,Basic,19683,Suburban,117,17,41,561.6,Sports Car
YR34119,Washington,31161.74523,Basic,30916,Rural,112,7,65,200.11606,SUV
RR77985,Oregon,2887.742258,Extended,0,Suburban,80,24,95,676.944023,Four-Door Car
VC22097,Washington,8714.922135,Basic,0,Suburban,118,14,64,566.4,SUV
WV17090,California,25585.72783,Basic,0,Suburban,116,0,45,830.623064,SUV
TM23514,Oregon,10272.6082,Extended,60145,Urban,132,8,28,580.473259,SUV
MQ68407,Oregon,4376.363592,Premium,63774,Rural,111,18,63,60.036683,Four-Door Car
GJ59592,California,5318.89664,Basic,25134,Suburban,67,3,0,321.6,Four-Door Car
FY56083,Oregon,4719.762191,Basic,37057,Rural,61,5,48,47.53101,Four-Door Car
UA94723,Oregon,4428.031583,Basic,58577,Urban,110,6,62,303.872752,SUV
FW91032,California,5879.176092,Basic,85857,Rural,73,3,19,100.620067,Four-Door Car
